RegRep,current,new,change
ADB,4506,5188,1.1513537505548157
AJV,534,614,1.149812734082397
ALO,4970,6255,1.2585513078470825
BDR,1168,1460,1.25
CCF,3916,4410,1.1261491317671093
DMR,5941,7705,1.29691971048645
ESG,4526,5292,1.1692443658859921
IVM,2923,3552,1.2151898734177216
KCK,797,946,1.1869510664993725
KSH,6982,8194,1.1735892294471497
LJS,4255,5013,1.1781433607520564
LJW1,9272,10663,1.1500215703192407
LMC,406,462,1.1379310344827587
LRH,6359,7203,1.1327252712690674
MMARAIS,5086,5614,1.1038143924498625
MSU,1078,1546,1.4341372912801484
NWO,1281,1531,1.195160031225605
RRY,5936,7249,1.2211927223719676
SCK,5925,6824,1.1517299578059073
SCS,4613,5069,1.0988510730544114
SDA,6339,6821,1.076037229846979
SWSR,848,965,1.1379716981132075
TUS,2172,2663,1.2260589318600368
WAB,2835,3353,1.182716049382716
WJI,3795,4371,1.1517786561264822
